,Phone number,Fax,Email,Website,Address,locality,administrative_area_level_2,administrative_area_level_1,country,relation_number
418,043 30 13 73/043301516,043 30 14 17,apc1328@gmail.com,,SIEGE COMMUNE DE HAMMAM BOUGHRARA-RUE EL SASSI KADOUR-DAIRA DE MAGHNIA,Hammam Boughrara,Maghnia,Tlemcen,Algeria,6666566
419,043 32 01 23/32/01/73,043 32 02 30,commune.souahlia1329@gmail.com,,BD DE 20 METTRES-TOUNANE SOUAHLIA,Souahlia,Ghazaouet,Tlemcen,Algeria,6666581
420,043 39 31 50,043 39 31 51,,,Cite bab ennasr-13024 Msirda fouaga w-tlemcen,M'Sirda Fouaga,Marsa Ben Mehdi,Tlemcen,Algeria,6666569
421,043 33 82 06,043 33 82 07,ain-fettah1331@outlook.fr,,BLVRD: 1ER NOV AIN-FETAH,Ain Fetah,Fellaoucene,Tlemcen,Algeria,6666546
422,043 55 01 06,043 55 03 66,elaricha2017@gmail.com,,SITE DES MARTYRES EL- ARICHA,El Aricha,Sebdou,Tlemcen,Algeria,6666587
423,043 39 41 31/29,043 39 41 30,,,Rue de MARTYR Saber abd elkader -Souk Tleta-,Souk Tlata,Bab El Assa,Tlemcen,Algeria,6666583
424,043 25 60 76,043 25 60 83,,,SIDI ABDELLI CENTRE,Sidi Abdelli,Bensekrane,Tlemcen,Algeria,5836649
425,043 34 43 09,043 54 62 13,sebdou1335@gmail.com,,RUE  Premier novembre,Sebdou,Sebdou,Tlemcen,Algeria,6666578
426,043 44 21 93/61/22,043 44 21 96,apc1336@yahoo.com,,RUEM01 NOVEMBRE,Beni Ouarsous,Remchi,Tlemcen,Algeria,6666556
427,043 53 31 58,043 53 33 35,apc.sidimedjahed@yahoo.com,,Siege apc Sidi MEDJAHED W TLEMCEN 13044,Sidi Medjahed,Beni Boussaid,Tlemcen,Algeria,6666579
428,043 50 02 23/50/03/84,043 50 06 03,,,SIEGE APC BENI BOUSSAID W-TLEMCEN-13049,Beni Boussaid,Beni Boussaid,Tlemcen,Algeria,6666554
429,043 51 91 34,043 51 91 56,,,Cite communale-13017 Marsa ben mhidi w-tlemcen,Marsa Ben M'Hidi,Marsa Ben Mehdi,Tlemcen,Algeria,4586232
430,043 35 71 24/043 45 50 77,043 45 51 22,,,RUE MOHAMMED BOUDIAF ROUTE DE GHAZAOUET NEDROMA,Nedroma,Nedroma,Tlemcen,Algeria,6666571
431,043 54 21 91,043 54 24 66/54/23/51,apc1341@gmail.com,,CITE PREMIER NOVEMBRE,Sidi Djillali,Sidi Djillali,Tlemcen,Algeria,6666589
432,043 37 21 15,043 37 21 17,apcbb13060@gmail.com,,CITE ADMINISTRATIVE,Beni Bahdel,Beni Snous,Tlemcen,Algeria,6666553
433,043 37 31 03,043 54 31 02,apcbouihi1343@gmail.com,,ROUTE NATIONAL N° 99 A COTE LYCEE CHAHID LAZAAR MENAOUAR,Bouihi,Sidi Djillali,Tlemcen,Algeria,6666588
434,043 23 81 93,043 23 82 03,,,"Honaine centre,Cne de Honaine -Wilaya de tlemcen",Honaine,Honaine,Tlemcen,Algeria,6666568
435,043 32 11 02,043 32 12 82,mairie.tient@gmail.com,,Rue principale Boukraa Larbi,Tienet,Ghazaouet,Tlemcen,Algeria,6666585
436,043 43 08 10/57/41/06,043 57 41 06,,,Rue principal yahyaoui Miloud,Ouled Riyah,Hennaya,Tlemcen,Algeria,6666574
437,043 33 61 87/33,043 33 61 88,apcbouhllou@gmail.com,,Rue MEKIDICHE KADDOUR CITE 05 JUILLET n03,Bouhlou,Sabra,Tlemcen,Algeria,6666559
438,043 23 51 01/29,043 23 51 15,apc.beni.khellad@gmail.com,,"Souk El khemis,Cne de beni-khelad wilaya de tlemcen",Beni Khellad,Honnaine,Tlemcen,Algeria,6666555
439,043 58 81 01,043 58 81 02,ainghoraba1349@gmail.com,,AIN-GHORABA CENTRE,Ain Ghoraba,Mansourah,Tlemcen,Algeria,6666548
440,043 40 52 88/043 40 65 45,043 40 61 40/65/82,apc.chetouane1350@gmail.com,,APC Chetouane Centre,Chetouane,Chetouane,Tlemcen,Algeria,4589407
441,043 21 23 80/043 21 40 01,043 21 41 10,apc_mansourah@yahoo.com,,IMAMA MANSOURAH,Mansourah,Mansourah,Tlemcen,Algeria,4291183
442,043 59 71 01,043 59 71 11,benismiel1325@gmail.com,,AIN ISSER COMMUNE BENI SMIEL,Beni Smiel,Ouled Mimoun,Tlemcen,Algeria,6666557
443,043 35 01 04/35/01/08,043 35 01 18,apcainkebira1353@hotmail.fr,,BLVRD: ROUGEB MED AIN-KEBIRA,Ain Kebira,Fellaoucene,Tlemcen,Algeria,6666549
444,046 41 71 71/ 046 41 52 52 ,046 41 76 80,bouteldjaaek@yahoo.fr,,Commandant Medejdoub - Tiaret,Tiaret,Tiaret,Tiaret,Algeria,6545450
445,046 32 52 51,046 32 52 54,apcmedroussa1402@gmail.com,,Boulevard des Martyrs - Medroussa,Medroussa,Medroussa,Tiaret,Algeria,6545433
446,046 44 05 05,046 44 02 06/ 046 44 08 98,apc-ainbouchekif@hotmail.com,,Cité Ali Maachi,Ain Bouchekif,Dahmouni,Tiaret,Algeria,6545416
447,046 44 51 03,046 44 51 02,sidi ali mellal1404@gmail.com,,Sidi Ali Mellal centre,Sidi Ali Mellal,Oued Lili,Tiaret,Algeria,6545444
448,046 38 01 08,046 38 01 91/046 38 03 70,communeaindzarit@yahoo.com,,Rue 01 novembre ain dzarit,Ain Dzarit,Mahdia,Tiaret,Algeria,6545415
449,046 29 11 43,046 29 11 43 / 046 29 11 41,communeaindeheb@yahoo.fr,,Rue Kebouch Baghdad - Ain deheb,Ain Deheb,Ain Deheb,Tiaret,Algeria,6545417
450,046 32 61 78,046 32 05 00/ 046 32 01 14,sidibakhti1407@gmail.com,,Sidi bakhti - Medroussa,Sidi Bakhti,Medroussa,Tiaret,Algeria,6545445
451,046 40 21 26,046 40 21 26,apcmedrissa1408@gmail.com,,Avenue Bouhafs Mahmoud,Medrissa,Ain Kermes,Tiaret,Algeria,6545432
452,046 36 62 00,046 36 62 04,apczea@gmail.com,,Rue El Emir Abd El Kader,Zmalet El Emir Abdelkader,Ksar Chellala,Tiaret,Algeria,4290303
453,046 29 99 25/ 046 29 99 26 ,046 29 99 25,papcmadena@gmail.com,,Cité ben Attallah Djilali,Madna,Ain Kermes,Tiaret,Algeria,6545429
454,046 34 81 03,046 34 81 23,apc.sebt@yahoo.com,,Commune de Sebt,Sebt,Meghila,Tiaret,Algeria,6545434
455,046 32 05 02,046 32 05 00/ 046 32 01 14,apc.mellakou@gmail.com,,Rue aouici Benaissa - Medroussa,Mellakou,Medroussa,Tiaret,Algeria,6545435
456,046 24 12 77,046 24 14 61/046 24 12 80/046 24 12 73,communededahmouni@gmail.com,,Cité Meliani Rabah centre ville,Dahmouni,Dahmouni,Tiaret,Algeria,6545422
457,046 44 83 42/046 44 85 43/046 44 86 11,046 44 83 42/ 046 44 85 43,apc rahouia@yahoo.fr ,,Rue Chahid Belbia Lazerag,Rahouia,Rahouia,Tiaret,Algeria,6545439
458,046 38 62 02,046 38 62 06/046 38 62 07,apc_mahdia@hotmail.com,,Rue si abdelbaki mahdia,Mahdia,Mahdia,Tiaret,Algeria,6545430
459,046 28 61 34,046 28 61 42/ 046 28 61 39,apcsougueur@yahoo.fr,,Rue Maamri Missoum,Sougueur,Sougueur,Tiaret,Algeria,6545447
460,046 28 01 06/ 046 28 01 68,046 28 01 06/ 046 28 01 68,communesiabdelghani@gmail.com,,Si-Abdelghani,Si Abdelghani,Sougueur,Tiaret,Algeria,6545442
461,046 30 02 55,046 30 02 56,ainelhadid@yahoo.fr,,Apc Ain El Hadid Rue Martyres,Ain El Hadid,Frenda,Tiaret,Algeria,6545418
462,046 29 31 11,046 29 31 11,papcrosfa2016@gmail.com,,Cité premier Novembre,Djebilet Rosfa,Ain Kermes,Tiaret,Algeria,6545423
463,046 29 41 22/ 046 29 41 23 ,046 29 41 23,naima_siege1420@outlouk.fr,,Centre ville,Naima,Ain Deheb,Tiaret,Algeria,6545437
464,046 34 41 03 ,046 34 41 83,apc1421@yahoo.fr,,Commune de Meghila,Meghila,Meghila,Tiaret,Algeria,6545483
465,046 34 77 21,046 34 77 31,guertoufa2014@yahoo.com,,Rue 1er Novembre 1954,Guertoufa,Rahouia,Tiaret,Algeria,6545427
466,046 34 51 16,046 34 53 43,apc sidi hosni@yahoo.com,,Commune de sidi-hosni,Sidi Hosni,Meghila,Tiaret,Algeria,6545446
467,046 44 11 04,046 44 12 68,apc_djilaliben.amar@yahoo.com,,Rue Boutemra Abdelkader Djillali ben Amar - Tiaret,Djillali Ben Amar,Mechraa Sfa,Tiaret,Algeria,6545424
468,046 37 51 01,046 37 51 79/046 37 51 71,sebain1425@gmail.com,,Cite des martyre sebain,Sebaine,Mahdia,Tiaret,Algeria,6545441
469,046 33 11 12/ 046 33 11 30,046 33 11 29 / 046 33 11 30,apctousnina14@gmail.com,,Tousnina centre,Tousnina,Sougueur,Tiaret,Algeria,6545452
470,046 40 71 01,046 40 95 86,fathallah05@gmail.fr,,Apc de frenda Rue Martyres,Frenda,Frenda,Tiaret,Algeria,6545426
471,046 29 04 05/ 046 29 04 03,046 29 04 05,gacemihocin58@gmail.com,,Avenue Capitaine Si Boussif,Ain Kermes,Ain Kermes,Tiaret,Algeria,6545419
472,046 46 81 42,046 46 81 42,apcksarchellala1480@gmail.com,,Rue el Moudjahid  Dahleb Saad,Ksar Chellala,Ksar Chellala,Tiaret,Algeria,4290194
473,046 37 01 55,046 37 02 80,apcrechaiga14026@gmail.com,,Cité Hadjidj daoud Rechaiga,Rechaiga,Hamadia,Tiaret,Algeria,6545440
474,046 37 61 08,046 37 61 08/046 37 61 01,nadhorahn@gmail.com ,,Dayet terfas nadhora,Nadorah,Mahdia,Tiaret,Algeria,6545436
475,046 31 81 95,046 31 81 97,tagdempt_rostomia1985@hotmail.com,,Commune de Tagdempt - Tiaret,Tagdemt,Mechraa Sfa,Tiaret,Algeria,6545448
476,046 35 42 42,046 35 41 84,apcouedlili@gmail.com,,Oued lili centre,Oued Lilli,Oued Lili,Tiaret,Algeria,6545438
477,046 44 71 01,046 44 71 70/ 046 44 72 99,communedemechraasfa1434@gmail.com,,Cité 05 juillet Mechraa sfa Tiaret,Mechraa Safa,Mechraa Sfa,Tiaret,Algeria,6545431
478,046 38 53 89,046 38 53 89,apc-hamadia@hotmail.fr,,Rue Emir AEK,Hamadia,Hamadia,Tiaret,Algeria,6545428
479,046 29 81 29,046 29 81 37,apcchehaima@gmail.com,,Centre ville,Chehaima,Ain Deheb,Tiaret,Algeria,6545421
480,046 40 31 28,046 40 31 29,apctakhemaret@gmail.com,,Apc de Takhmert Rue Martyres,Takhemaret,Frenda,Tiaret,Algeria,6545449
481,046 29 53 76,046 29 53 76,papcsidiabderrahmane@yahoo.fr,,Avenue Larbi Tbassi,Sidi Abderrahmane,Ain Kermes,Tiaret,Algeria,6545443
482,046 36 81 56,046 38 81 56,serguineapc@gmail.com,,Rue Yawm chahid 18 février,Serghine,Ksar Chellala,Tiaret,Algeria,4290220
483,046 37 31 14,046 37 31 14,bougara1440@gmail.com,,Commune de Bougara Village Agricole,Bougara,Hamadia,Tiaret,Algeria,6545420
484,046 33 51 03/ 04633 51 08,046 33 51 03/ 04633 51 08,apc faidja@gmail.com,,Rue Emir Abdelkader - Faidja,Faidja,Sougueur,Tiaret,Algeria,6545425
485,046 44 31 31 ,046 44 31 08,apc-tidda@yahoo.fr,,Rue Moussa Mohamed Tida- Tiaret,Tidda,Oued Lili,Tiaret,Algeria,6545451
486,026 19 02 52,026 19 02 53,,,Rue Larbi Ben M'Hidi  Tizi Ouzou,Tizi-Ouzou,Tizi Ouzou,Tizi-Ouzou,Algeria,3081643
487,026 48 92 70,026 48 91 57,commune1502@gmail.com,,"Rue Colonnel Amirouche, Commune Ain El Hammam",Ain-El-Hammam,Ain El Hammam,Tizi-Ouzou,Algeria,4288602
488,026 48 10 14,026 48 10 15,apc_akbil@yahoo.fr,,Siege APC Akbil code postale 15099  Tizi-ouzou,Akbil,Ain El Hammam,Tizi-Ouzou,Algeria,4288635
489,026 45 73 20,026 45 73 22,,,Freha Centre,Freha,Azazga,Tizi-Ouzou,Algeria,3079569
490,026 35 52 55/026 35 52 56,026 35 52 56/026 35 52 54,,,Souama Commune de Souama,Souamaa,Mekla,Tizi-Ouzou,Algeria,4282805
491,026 13 63 76,026 13 63 77,apcmechtras2014@gmail.com,,RN 30 MECHTRAS CENTRE,Mechtras,Boghni,Tizi-Ouzou,Algeria,4293793
492,026 49 12 65,026 49 14 78,apc.irdjen@yahoo.fr,,Apc Irdjen-Daïra Larbaa nath irathen15039,Irdjen,Larbaa Nath Iraten,Tizi-Ouzou,Algeria,4285909
493,026 41 78 37,026 41 78 38,,,Souk El Had - Timizart,Timizart,Ouaguenoun,Tizi-Ouzou,Algeria,3274799
494,026 44 42 31,026 44 42 30,,,Makouda Centre - Makouda,Makouda,Makouda,Tizi-Ouzou,Algeria,3499472
495,026 13 32 31,026 13 34 25,,www.apcdem.tk,Siége apc commune Draa El Mizan WilayaTizi Ouzou,Draa-El-Mizan,Draa El Mizan,Tizi-Ouzou,Algeria,4293703
496,026 13 97 97,026 13 97 72,,www.apctizigheniff.com,Siège APC Tizi Gheniff - Rue Nacef Slimane,Tizi-Gheniff,Tizi-Ghenif,Tizi-Ouzou,Algeria,4293716
497,026 23 20 55,026 23 20 54,,,Bounouh Centre,Bounouh,Boghni,Tizi-Ouzou,Algeria,4293695
498,026 42 32 25,026 42 32 49,ait_chaffa@yahoo.fr,,Ait Chaffa centre,Ait-Chafaa,Azeffoun,Tizi-Ouzou,Algeria,4285400
499,026 38 72 23/026 38 72 24,026 38 72 22,apc.frikat@gmail.com,,Frikat centre - Frikat,Frikat,Draa El Mizan,Tizi-Ouzou,Algeria,4293699
500,026 40 81 97/026 40 81 43 ,026 40 81 98/026 40 81 44,apcbeniaissi@yahoo.fr,www.apc-athaissi.org,Béni Aissi centre,Beni-Aissi,Beni Douala,Tizi-Ouzou,Algeria,4291589
501,026 40 11 81/026 40 11 03,026 40 11 81/026 40 11 03,,,Alma Centre Beni Zmenzer,Beni Zmenzer,Beni Douala,Tizi-Ouzou,Algeria,4292527
502,026 26 85 88,026 26 81 89,apciferhounene@gmail.com,,Iferhounene centre - Iferhounene,Iferhounene,Iferhounene,Tizi-Ouzou,Algeria,2170762
503,026 14 10 02/026 14 10 15,026 14 10 15,apcazazga@yahoo.fr,,Rue des Chouhadas Azazga,Azazga,Azazga,Tizi-Ouzou,Algeria,4280112
504,026 36 36 18/026 36 32 44,026 36 32 44,,,tabouda centre illoula Oumalou,Illoula Oumalou,Bouzeguene,Tizi-Ouzou,Algeria,2170761
505,026 14 71 65,026 14 71 46,,,Yakourène centre - Yakourène,Yakouren,Azazga,Tizi-Ouzou,Algeria,2177213
506,026 49 30 06,026 49 30 04,apc.inflni@gmail.com,,"Boulevard Abane Ramdane, Larbaa Nath Irathen",Larbaa Nath Irathen,Larbaa Nath Iraten,Tizi-Ouzou,Algeria,4286304
507,026 31 97 18,026 31 96 69,,www.apc-tizirached.dz,Tizi-Rached centre - Tizi rached,Tizi-Rached,Tizi Rached,Tizi-Ouzou,Algeria,4285748
508,026 14 90 01,026 14 90 01,zekri.apc2013@gmail.com,,Zekri Centre,Zekri,Azazga,Tizi-Ouzou,Algeria,4285366
509,026 44 02 73/026 44 02 72,026 44 02 72,,,Tikobain-Ouaguenoun,Ouaguenoun,Ouaguenoun,Tizi-Ouzou,Algeria,3080287
510,026 13 15 61/ 026 13 15 62,026 13 15 63,,,Ain Zaouia centre - Ain Zaouia,Ain-Zaouia,Draa El Mizan,Tizi-Ouzou,Algeria,4293792
511,026 38 78 20,026 38 78 21,,,Village Tighilt Bougueni -Commune de M'Kira,M'Kira,Tizi-Ghenif,Tizi-Ouzou,Algeria,4293722
512,026 49 42 62/026 49 42 78/026 49 42 98,026 49 42 62,,,Commune ait yahia daira ain el hammam tizi ouzou,Ait-Yahia,Ain El Hammam,Tizi-Ouzou,Algeria,2175824
513,020 61 53 39/026 29 71 06,026 29 71 06,,,Taguemount Azouz - Ait Mahmoud,Ait-Mahmoud,Beni Douala,Tizi-Ouzou,Algeria,4292443
514,026 13 84 14,026 13 85 65,apcmaatkas1529@gmail.com,,Souk El Khemis - Maatkas,Maatkas,Maatkas,Tizi-Ouzou,Algeria,4293796
515,026 33 27 04,026 33 27 07,,,Ait boumehdi Centre Daïra de Ouacif,Ait Boumahdi,Ouacif,Tizi-Ouzou,Algeria,4289197
516,026 48 21 60/026 48 21 19,026 48 21 60/026 48 21 67,apcabyoucef@hotmail.com,,Commune ABI YOUCE daira Ain El Hammam-Tizi ouzou,Abi-Youcef,Ain El Hammam,Tizi-Ouzou,Algeria,4279944
517,026 40 64 00,026 40 61 06,,,Beni Douala Centre - Beni Douala,Beni-Douala,Beni Douala,Tizi-Ouzou,Algeria,4292506
518,026 49 01 10/026 49 01 50,026 49 02 67,,,Souk El Had Illilten,Illilten,Iferhounene,Tizi-Ouzou,Algeria,2170759
519,026 14 09 50,026 14 09 52,apcbouzguene@gmail.com,,Bouzeguene Centre Commune et Daira de Bouzeguene,Bouzeguene,Bouzeguene,Tizi-Ouzou,Algeria,2175826
520,026 49 61 11/026 49 61 03 ,026 49 61 03,apcaag.1535@gmail.fr,,Chef lieu Ait Aggouacha,Ait Aggouacha,Larbaa Nath Iraten,Tizi-Ouzou,Algeria,4288585
521,026 32 53 28,026 32 53 29,apc.ouadhia@gmail.com,,Ouadhias Centre - Ouadhias,Ouadhia,Ouadhia,Tizi-Ouzou,Algeria,4291973
522,026 45 05 29 ,026 45 05 30 / 026 45 05 77,apcazeffoun2016@gmail.com,,Azeffoun centre,Azeffoun,Azeffoun,Tizi-Ouzou,Algeria,4285456
523,026 15 82 92/026 15 82 96,026 15 82 97/026 15 82 93,,www.apc-tigzirt.com,Avenue Ahmed Chafai- Tigzirt,Tigzirt,Tigzirt,Tizi-Ouzou,Algeria,4285531
524,026 44 52 06,026 44  52 04,apcaam@hotmail.com,,Ait Aissa Mimoun Levdhahi,Ait-Aissa-Mimoun,Ouaguenoun,Tizi-Ouzou,Algeria,3080944
525,026 28 47 17,026 28 43 15,,,Boghni Centre,Boghni,Boghni,Tizi-Ouzou,Algeria,4293648
526,026 14 00 01,026 14 03 13/026 14 03 02 ,communeifigha@yahoo.fr,www.apc-ifigha.com,Ifigha Centre,Ifigha,Azazga,Tizi-Ouzou,Algeria,2175825
527,026 31 72 53/026 31 72 54,026 31 72 54,apcaitoumalou@yafoo.fr,,Agouni Bouaragh - Ait oumalou,Ait-Oumalou,Tizi Rached,Tizi-Ouzou,Algeria,4285835
528,026 42 01 09  /026 42 01 16,026 42 01 50/ 026 42 04 05,,,Village Laksar Commune Tirmitine Daïra Drâa Ben Khedda,Tirmitine,Draa Ben Khedda,Tizi-Ouzou,Algeria,4293797
529,026 45 46 27/026 45 46 29,026 45 46 29,,,Tifrit nait el hadj,Akerrou,Azeffoun,Tizi-Ouzou,Algeria,4285411
530,026 33 50 38/026 33 50 37 ,026 33 50 38/026 33 50 37,apcyatafene@gmail.com,,"Souk El Had, Commune de Yatafene",Yatafene,Benni Yenni,Tizi-Ouzou,Algeria,4288664
531,026 35 61 71,026 35 62 84,apc_benizikki@yahoo.fr,,Beni-Zikki Centre - Beni Zikki,Beni-Zikki,Bouzeguene,Tizi-Ouzou,Algeria,2175827
532,026 43 42 55/026 43 42 58,026 43 42 57,,,Rue Kasri Ahmed,Draa-Ben-Khedda,Draa Ben Khedda,Tizi-Ouzou,Algeria,4285617
533,026 33 19 50,026 33 16 35,dynabis 914@gmail.com,,APC OUACIF,Ouacif,Ouacif,Tizi-Ouzou,Algeria,4289193
534,026 14 32 78,026 14 32 74,,,Idjeur 15036 tizi ouzou,Idjeur,Bouzeguene,Tizi-Ouzou,Algeria,2177075
535,026 37 24 91/026 37 24 83,026 37 24 91/026 37 24 83,,,Mekla Centre,Mekla,Mekla,Tizi-Ouzou,Algeria,4285700
536,026 32 98 01,026 32 98 18,,,Tizi n'tleta Centre - Tizi n'tleta,Tizi N'Tleta,Ouadhias,Tizi-Ouzou,Algeria,4292807
537,026 33 71 20/026 33 72 38,026 33 71 91,mairie.beniyenni@gmail.com,,Commune Beni Yenni-Taourirt Mimoun,Beni-Yenni,Benni Yenni,Tizi-Ouzou,Algeria,4289177
538,026 45 21 59/026 45 21 58,026 45 21 59/026 45 21 58,,,Agouni Oucharki - Aghribs,Aghribs,Azeffoun,Tizi-Ouzou,Algeria,4285438
539,026 15 62 40,026 15 62 39,,,Agouni Moussi,Iflissen,Tigzirt,Tizi-Ouzou,Algeria,4285481
540,026 44 63 69/026 44 63 68,026 44 63 69/026 44 63 68,,,Boudjima Centre - Boudjima,Boudjima,Makouda,Tizi-Ouzou,Algeria,3274166
541,026 13 47 49,026 13 47 49,,,Ait Yahia Moussa Daira Draa El Mizan,Ait Yahia Moussa,Draa El Mizan,Tizi-Ouzou,Algeria,4293723
542,026 13 87 59/026 13 87 60    ,026 13 87 61/026 13 87 63,souk_el tenine@yahoo.fr,,Commune Souk El Tenine Daïra de Mâatkas,Souk-El-Tenine,Maatkas,Tizi-Ouzou,Algeria,4293795
543,026 36 21 02,026 36 21 03,,,Aït Khellili,Ait Khellili,Mekla,Tizi-Ouzou,Algeria,4285690
544,026 43 91 68/026 43 91 69,026 43 91 69,,,Cité Sidi Namane Centre - Sidi Namane,Sidi Namane,Draa Ben Khedda,Tizi-Ouzou,Algeria,4279910
545,026 29 31 30,026 29 31 33,apciboudrarene15116@hotmail.fr,,chef lieu iboudrarene,Iboudraren,Benni Yenni,Tizi-Ouzou,Algeria,4288710
546,026 28 81 04,026 28 81 67/ 026 28 81 22,,,Agouni Gueghrane Commune Agouni Gueghrane,Agouni-Gueghrane,Ouadhias,Tizi-Ouzou,Algeria,4291805
547,026 15 13 28/026 15 13 70 ,026 15 13 27/026 15 13 70,apc.mizrana@gmail.com,,Ait said-Commune Mizrana,Mizrana,Tigzirt,Tizi-Ouzou,Algeria,4285550
548,026 49 07 21/ 026 49 07 22,026 49 07 23,,,Agouni ouadellah imasouhal,Imsouhal,Iferhounene,Tizi-Ouzou,Algeria,2175823
549,026 43 43 49/026 43 76 54,26 43 76 52,,,Rue colonel amirouche,Tadmait,Draa Ben Khedda,Tizi-Ouzou,Algeria,4285627
550,026 32 91 03,026 32 91 02,,,AIT BOUADDOU 15025,Ait Bouaddou,Ouadhias,Tizi-Ouzou,Algeria,4292593
551,026 38 19 67,026 38 19 68,,,Siège APC Assi Youcef 15431 W TIZI OUZOU,Assi-Youcef,Boghni,Tizi-Ouzou,Algeria,4293167
552,026 33 20 57,026 33 20 56,papcaittoudert@yahoo.com,,Ait Toudert Centre Daira Ouacif Wilaya de Tizi Ouzou,Ait-Toudert,Ouacif,Tizi-Ouzou,Algeria,4289238
553,023 50 80 91,23508103,apc.algercentre@wilaya-alger.dz,http://www.apc-algercentre.dz,03 Rue place Emir Abdelkader,Alger Centre,Sidi M'Hamed,Alger,Algeria,157183
554,021 65 12 95,21657675,apc.sidimhamed@wilaya-alger.dz,,12 Rue Belhaffaf Ghazali,Sidi M'Hamed,Sidi M'Hamed,Alger,Algeria,2712671
555,021 27 03 78/021 27 60 32,21270242,apc.madania@wilaya-alger.dz,,Place El Fidae Madania,El Madania,Sidi M'Hamed,Alger,Algeria,545892
556,021 67 15 75,21671575,apc.belouizdad@wilaya-alger.dz,,07 Rue Rabah Takjourt-Ruisseau,Mohamed Belouizdad,Hussein Dey,Alger,Algeria,157175
557,021 96 72 29,21965243,apc.babloued@wilaya-alger.dz,,01 Rue Ahmed Bouder Bab El Oued,Bab El Oued,Bab El Oued,Alger,Algeria,157185
558,023 15 07 77,23150777,apc.bologhine@wilaya-alger.dz,,01 Rue Hamla Abde Elrazek Bologhine,Bologhine Ibnou Ziri,Bab El Oued,Alger,Algeria,548210
559,021 43 76 68/021 43 76 69,21437382,apc.casbah@wilaya-alger.dz,,02 Bed  Che Guevara Casbah,Casbah,Bab El Oued,Alger,Algeria,157184
560,023 17 22 75,23172247,apc.ouedkoriche@wilaya-alger.dz,,Cité administrative Saïd Hani oued koriche,Oued Koriche,Bab El Oued,Alger,Algeria,157186
561,021 54 61 01/021 54 61 02,021546815/021546266,apc.birmouradrais@wilaya-alger.dz,,Rue Said Hamdine Bir Mourad Rais,Bir Mourad Rais,Bir Mourad Rais,Alger,Algeria,2711707
562,021 92 60 87/021 92 40 92,021921262/021921423,apc.elbiar@wilaya-alger.dz,,Place Kennedy El Biar,El Biar,Bouzareah,Alger,Algeria,545878
563,023 18 16 01,023181589/023181595,apc.bouzareah@wilaya-alger.dz,,Rue Riabi Mohamed Bouzareah,Bouzareah,Bouzareah,Alger,Algeria,2712667
564,023 45 20 66,23452062,apc.birkhadem@wilaya-alger.dz,,Rue Mezouar Abdelkader,Birkhadem,Bir Mourad Rais,Alger,Algeria,546311
565,021 83 17 09,021831709/021834446,apc.harrach@wilaya-alger.dz,,Place 05 Juillet 1962 centre ville,El Harrach,El Harrach,Alger,Algeria,2712669
566,023 91 14 04,23911408,apc.baraki@wilaya-alger.dz,,Rue Boualem Kadour,Baraki,Baraki,Alger,Algeria,2712666
567,023 83 25 70,23832570,apc.ouedsmar@wilaya-alger.dz,,Rue Meftah Oued Smar,Oued Smar,El Harrach,Alger,Algeria,157521
568,023 76 73 43,023767357/023767795,apc.bourouba@wilaya-alger.dz,,Rue Houes Chaabane entrée principal,Bourouba,El Harrach,Alger,Algeria,542584
569,023 77 60 55/023 77 26 86,23776055,apc.huseindey@wilaya-alger.dz,,02 Rue Ammar Mekkid,Hussein Dey,Hussein Dey,Alger,Algeria,2712670
570,023 78 63 05,023786284/023786296,apc.kouba@wilaya-alger.dz,,Place Mohamed El-Aichaoui,Kouba,Hussein Dey,Alger,Algeria,545895
571,021 26 17 17/021 26 25 95,21269154,apc.bachdjerah@wilaya-alger.dz,,Cité Bachdjarah 2,Bachedjerah,El Harrach,Alger,Algeria,542690
572,021 50 64 73,021507169/021506473,apc.darelbeida@wilaya-alger.dz,,Rue Mouloud Ferraoun,Dar El Beida,Dar El Beida,Alger,Algeria,2712668
573,023 83 21 04,023832106/023831363,apc.babezzouar@wilaya-alger.dz,,Cité Rabia Tahar Bab Ezzouar,Bab Ezzouar,Dar El Beida,Alger,Algeria,157508
574,021 91 21 60,021920495/023384347,apc.benaknoun@wilaya-alger.dz,,Route National N°36 Ben Aknoun,Ben Aknoun,Bouzareah,Alger,Algeria,544814
575,021 91 96 36,021919491/021917320,apc.delybrahim@wilaya-alger.dz,,Rue Ali Delili Ain Allah Dely Ibrahim,Dely Ibrahim,Cheraga,Alger,Algeria,544840
576,021 95 71 42/021 95 71 27,021950000/021959000,apc.hammamet@wilaya-alger.dz,,247 Avenue Hamid Kebladj Hammamet,Hammamet,Cheraga,Alger,Algeria,542467
577,021 70 86 28/021 70 82 34,21708620,apc.raishamidou@wilaya-alger.dz,,01 Bed Mabrouk Belahcen Rais Hamidou,Rais Hamidou,Bab El Oued,Alger,Algeria,548025
578,021 28 62 82/021 28 08 51,21286282,apc.guedeconstantine@wilaya-alger.dz,,Ilot B2 Gué de Constantine,Djasr Kasentina,Bir Mourad Rais,Alger,Algeria,2711708
579,021 69 67 29,21697799,apc.mouradia@wilaya-alger.dz,,54 Rue Ali Haddad,El Mouradia,Sidi M'Hamed,Alger,Algeria,545891
580,021 69 45 62/021 69 47 75,21607532,apc.hydra@wilaya-alger.dz,,01 Rue AbouNaous Hydra,Hydra,Bir Mourad Rais,Alger,Algeria,545879
