,Town,Phone number,Fax,Email,Website,Address,Daira,Wilaya
460,Si abdelghani,046 28 01 06/ 046 28 01 68,046 28 01 06/ 046 28 01 68,communesiabdelghani@gmail.com,,"
                                    Si-Abdelghani                                
            ",                    sougueur                                               ,                    tiaret                                            
461,Ain el hadid,046 30 02 55,046 30 02 56,ainelhadid@yahoo.fr,,"
                                    Apc Ain El Hadid Rue Martyres                                
            ",                    frenda                                               ,                    tiaret                                            
462,Djebilet rosfa,046 29 31 11,046 29 31 11,papcrosfa2016@gmail.com,,"
                                    Cité premier Novembre                                
            ",                    ain kermes                                               ,                    tiaret                                            
463,Naima,046 29 41 22/ 046 29 41 23 ,046 29 41 23,naima_siege1420@outlouk.fr,,"
                                    Centre ville                                 
            ",                    ain deheb                                               ,                    tiaret                                            
464,Meghila,046 34 41 03 ,046 34 41 83,apc1421@yahoo.fr,,"
                                    Commune de Meghila                                
            ",                    meghila                                               ,                    tiaret                                            
465,Guertoufa,046 34 77 21,046 34 77 31,guertoufa2014@yahoo.com,,"
                                    Rue 1er Novembre 1954                                
            ",                    rahouia                                               ,                    tiaret                                            
466,Sidi hosni,046 34 51 16,046 34 53 43,apc sidi hosni@yahoo.com,,"
                                    Commune de sidi-hosni                                
            ",                    meghila                                               ,                    tiaret                                            
467,Djillali ben amar,046 44 11 04,046 44 12 68,apc_djilaliben.amar@yahoo.com,,"
                                    Rue Boutemra Abdelkader Djillali ben Amar - Tiaret                                
            ",                    mechraa sfa                                               ,                    tiaret                                            
468,Sebaine,046 37 51 01,046 37 51 79/046 37 51 71,sebain1425@gmail.com,,"
                                    Cite des martyre sebain                                
            ",                    mahdia                                               ,                    tiaret                                            
469,Tousnina,046 33 11 12/ 046 33 11 30,046 33 11 29 / 046 33 11 30,apctousnina14@gmail.com,,"
                                    Tousnina centre                                
            ",                    sougueur                                               ,                    tiaret                                            
470,Frenda,046 40 71 01,046 40 95 86,fathallah05@gmail.fr,,"
                                    Apc de frenda Rue Martyres                                
            ",                    frenda                                               ,                    tiaret                                            
471,Ain kermes,046 29 04 05/ 046 29 04 03,046 29 04 05,gacemihocin58@gmail.com,,"
                                    Avenue Capitaine Si Boussif                                
            ",                    ain kermes                                               ,                    tiaret                                            
472,Ksar chellala,046 46 81 42,046 46 81 42,apcksarchellala1480@gmail.com,,"
                                    Rue el Moudjahid  Dahleb Saad                                
            ",                    ksar chellala                                               ,                    tiaret                                            
473,Rechaiga,046 37 01 55,046 37 02 80,apcrechaiga14026@gmail.com,,"
                                    Cité Hadjidj daoud Rechaiga                                
            ",                    hamadia                                               ,                    tiaret                                            
474,Nadorah,046 37 61 08,046 37 61 08/046 37 61 01,nadhorahn@gmail.com ,,"
                                    Dayet terfas nadhora                                
            ",                    mahdia                                               ,                    tiaret                                            
475,Tagdempt,046 31 81 95,046 31 81 97,tagdempt_rostomia1985@hotmail.com,,"
                                    Commune de Tagdempt - Tiaret                                
            ",                    mechraa sfa                                               ,                    tiaret                                            
476,Oued lilli,046 35 42 42,046 35 41 84,apcouedlili@gmail.com,,"
                                    Oued lili centre                                
            ",                    oued lili                                               ,                    tiaret                                            
477,Mechraa safa,046 44 71 01,046 44 71 70/ 046 44 72 99,communedemechraasfa1434@gmail.com,,"
                                    Cité 05 juillet Mechraa sfa Tiaret                                
            ",                    mechraa sfa                                               ,                    tiaret                                            
478,Hamadia,046 38 53 89,046 38 53 89,apc-hamadia@hotmail.fr,,"
                                    Rue Emir AEK                                
            ",                    hamadia                                               ,                    tiaret                                            
479,Chehaima,046 29 81 29,046 29 81 37,apcchehaima@gmail.com,,"
                                    Centre ville                                 
            ",                    ain deheb                                               ,                    tiaret                                            
480,Takhemaret,046 40 31 28,046 40 31 29,apctakhemaret@gmail.com,,"
                                    Apc de Takhmert Rue Martyres                                
            ",                    frenda                                               ,                    tiaret                                            
481,Sidi abderrahmane,046 29 53 76,046 29 53 76,papcsidiabderrahmane@yahoo.fr,,"
                                    Avenue Larbi Tbassi                                
            ",                    ain kermes                                               ,                    tiaret                                            
482,Serghine,046 36 81 56,046 38 81 56,serguineapc@gmail.com,,"
                                    Rue Yawm chahid 18 février                                
            ",                    ksar chellala                                               ,                    tiaret                                            
483,Bougara,046 37 31 14,046 37 31 14,bougara1440@gmail.com,,"
                                    Commune de Bougara Village Agricole                                
            ",                    hamadia                                               ,                    tiaret                                            
484,Faidja,046 33 51 03/ 04633 51 08,046 33 51 03/ 04633 51 08,apc faidja@gmail.com,,"
                                    Rue Emir Abdelkader - Faidja                                
            ",                    sougueur                                               ,                    tiaret                                            
485,Tidda,046 44 31 31 ,046 44 31 08,apc-tidda@yahoo.fr,,"
                                    Rue Moussa Mohamed Tida- Tiaret                                
            ",                    oued lili                                               ,                    tiaret                                            
486,Tizi-ouzou,026 19 02 52,026 19 02 53,,,"
                                    Rue Larbi Ben M'Hidi  Tizi Ouzou                                
            ",                    tizi ouzou                                               ,                    tizi-ouzou                                            
487,Ain-el-hammam,026 48 92 70,026 48 91 57,commune1502@gmail.com,,"
                                    Rue Colonnel Amirouche, Commune Ain El Hammam                                
            ",                    ain el hammam                                               ,                    tizi-ouzou                                            
488,Akbil,026 48 10 14,026 48 10 15,apc_akbil@yahoo.fr,,"
                                    Siege APC Akbil code postale 15099  Tizi-ouzou                                
            ",                    ain el hammam                                               ,                    tizi-ouzou                                            
489,Freha,026 45 73 20,026 45 73 22,,,"
                                    Freha Centre                                
            ",                    azazga                                               ,                    tizi-ouzou                                            
490,Souama,026 35 52 55/026 35 52 56,026 35 52 56/026 35 52 54,,,"
                                    Souama Commune de Souama                                
            ",                    mekla                                               ,                    tizi-ouzou                                            
491,Mechtras,026 13 63 76,026 13 63 77,apcmechtras2014@gmail.com,,"
                                    RN 30 MECHTRAS CENTRE                                
            ",                    boghni                                               ,                    tizi-ouzou                                            
492,Irdjen,026 49 12 65,026 49 14 78,apc.irdjen@yahoo.fr,,"
                                    Apc Irdjen-Daïra Larbaa nath irathen15039                                
            ",                    larbaa nath iraten                                               ,                    tizi-ouzou                                            
493,Timizart,026 41 78 37,026 41 78 38,,,"
                                    Souk El Had - Timizart                                
            ",                    ouaguenoun                                               ,                    tizi-ouzou                                            
494,Makouda,026 44 42 31,026 44 42 30,,,"
                                    Makouda Centre - Makouda                                
            ",                    makouda                                               ,                    tizi-ouzou                                            
495,Draa-el-mizan,026 13 32 31,026 13 34 25,,www.apcdem.tk,"
                                    Siége apc commune Draa El Mizan WilayaTizi Ouzou                                
            ",                    draa el mizan                                               ,                    tizi-ouzou                                            
496,Tizi-gheniff,026 13 97 97,026 13 97 72,,www.apctizigheniff.com,"
                                    Siège APC Tizi Gheniff - Rue Nacef Slimane                                
            ",                    tizi-ghenif                                               ,                    tizi-ouzou                                            
497,Bounouh,026 23 20 55,026 23 20 54,,,"
                                    Bounouh Centre                                
            ",                    boghni                                               ,                    tizi-ouzou                                            
498,Ait-chafaa,026 42 32 25,026 42 32 49,ait_chaffa@yahoo.fr,,"
                                    Ait Chaffa centre                                
            ",                    azeffoun                                               ,                    tizi-ouzou                                            
499,Frikat,026 38 72 23/026 38 72 24,026 38 72 22,apc.frikat@gmail.com,,"
                                    Frikat centre - Frikat                                
            ",                    draa el mizan                                               ,                    tizi-ouzou                                            
500,Beni-aissi,026 40 81 97/026 40 81 43 ,026 40 81 98/026 40 81 44,apcbeniaissi@yahoo.fr,www.apc-athaissi.org,"
                                    Béni Aissi centre                                
            ",                    beni douala                                               ,                    tizi-ouzou                                            
501,Beni zmenzer,026 40 11 81/026 40 11 03,026 40 11 81/026 40 11 03,,,"
                                    Alma Centre Beni Zmenzer                                
            ",                    beni douala                                               ,                    tizi-ouzou                                            
502,Iferhounene,026 26 85 88,026 26 81 89,apciferhounene@gmail.com,,"
                                    Iferhounene centre - Iferhounene                                
            ",                    iferhounene                                               ,                    tizi-ouzou                                            
503,Azazga,026 14 10 02/026 14 10 15,026 14 10 15,apcazazga@yahoo.fr,,"
                                    Rue des Chouhadas Azazga                                
            ",                    azazga                                               ,                    tizi-ouzou                                            
504,Illoula oumalou,026 36 36 18/026 36 32 44,026 36 32 44,,,"
                                    tabouda centre illoula Oumalou                                
            ",                    bouzeguene                                               ,                    tizi-ouzou                                            
505,Yakourene,026 14 71 65,026 14 71 46,,,"
                                    Yakourène centre - Yakourène                                
            ",                    azazga                                               ,                    tizi-ouzou                                            
506,Larbaa nath irathen,026 49 30 06,026 49 30 04,apc.inflni@gmail.com,,"
                                    Boulevard Abane Ramdane, Larbaa Nath Irathen                                
            ",                    larbaa nath iraten                                               ,                    tizi-ouzou                                            
507,Tizi-rached,026 31 97 18,026 31 96 69,,www.apc-tizirached.dz,"
                                    Tizi-Rached centre - Tizi rached                                
            ",                    tizi rached                                               ,                    tizi-ouzou                                            
508,Zekri,026 14 90 01,026 14 90 01,zekri.apc2013@gmail.com,,"
                                    Zekri Centre                                
            ",                    azazga                                               ,                    tizi-ouzou                                            
509,Ouaguenoun,026 44 02 73/026 44 02 72,026 44 02 72,,,"
                                    Tikobain-Ouaguenoun                                
            ",                    ouaguenoun                                               ,                    tizi-ouzou                                            
510,Ain-zaouia,026 13 15 61/ 026 13 15 62,026 13 15 63,,,"
                                    Ain Zaouia centre - Ain Zaouia                                
            ",                    draa el mizan                                               ,                    tizi-ouzou                                            
511,M'kira,026 38 78 20,026 38 78 21,,,"
                                    Village Tighilt Bougueni -Commune de M'Kira                                
            ",                    tizi-ghenif                                               ,                    tizi-ouzou                                            
512,Ait-yahia,026 49 42 62/026 49 42 78/026 49 42 98,026 49 42 62,,,"
                                    Commune ait yahia daira ain el hammam tizi ouzou                                
            ",                    ain el hammam                                               ,                    tizi-ouzou                                            
513,Ait-mahmoud,020 61 53 39/026 29 71 06,026 29 71 06,,,"
                                    Taguemount Azouz - Ait Mahmoud                                
            ",                    beni douala                                               ,                    tizi-ouzou                                            
514,Maatkas,026 13 84 14,026 13 85 65,apcmaatkas1529@gmail.com,,"
                                    Souk El Khemis - Maatkas                                
            ",                    maatkas                                               ,                    tizi-ouzou                                            
515,Ait boumahdi,026 33 27 04,026 33 27 07,,,"
                                    Ait boumehdi Centre Daïra de Ouacif                                
            ",                    ouacif                                               ,                    tizi-ouzou                                            
516,Abi-youcef,026 48 21 60/026 48 21 19,026 48 21 60/026 48 21 67,apcabyoucef@hotmail.com,,"
                                    Commune ABI YOUCE daira Ain El Hammam-Tizi ouzou                                
            ",                    ain el hammam                                               ,                    tizi-ouzou                                            
517,Beni-douala,026 40 64 00,026 40 61 06,,,"
                                    Beni Douala Centre - Beni Douala                                
            ",                    beni douala                                               ,                    tizi-ouzou                                            
518,Illilten,026 49 01 10/026 49 01 50,026 49 02 67,,,"
                                    Souk El Had Illilten                                
            ",                    iferhounene                                               ,                    tizi-ouzou                                            
519,Bouzeguene,026 14 09 50,026 14 09 52,apcbouzguene@gmail.com,,"
                                    Bouzeguene Centre Commune et Daira de Bouzeguene                                 
            ",                    bouzeguene                                               ,                    tizi-ouzou                                            
520,Ait aggouacha,026 49 61 11/026 49 61 03 ,026 49 61 03,apcaag.1535@gmail.fr,,"
                                    Chef lieu Ait Aggouacha                                 
            ",                    larbaa nath iraten                                               ,                    tizi-ouzou                                            
521,Ouadhias,026 32 53 28,026 32 53 29,apc.ouadhia@gmail.com,,"
                                    Ouadhias Centre - Ouadhias                                
            ",                    ouadhias                                               ,                    tizi-ouzou                                            
522,Azeffoun,026 45 05 29 ,026 45 05 30 / 026 45 05 77,apcazeffoun2016@gmail.com,,"
                                    Azeffoun centre                                
            ",                    azeffoun                                               ,                    tizi-ouzou                                            
523,Tigzirt,026 15 82 92/026 15 82 96,026 15 82 97/026 15 82 93,,www.apc-tigzirt.com,"
                                    Avenue Ahmed Chafai- Tigzirt                                
            ",                    tigzirt                                               ,                    tizi-ouzou                                            
524,Ait-aissa-mimoun,026 44 52 06,026 44  52 04,apcaam@hotmail.com,,"
                                    Ait Aissa Mimoun Levdhahi                                
            ",                    ouaguenoun                                               ,                    tizi-ouzou                                            
525,Boghni,026 28 47 17,026 28 43 15,,,"
                                    Boghni Centre                                
            ",                    boghni                                               ,                    tizi-ouzou                                            
526,Ifigha,026 14 00 01,026 14 03 13/026 14 03 02 ,communeifigha@yahoo.fr,www.apc-ifigha.com,"
                                    Ifigha Centre                                
            ",                    azazga                                               ,                    tizi-ouzou                                            
527,Ait-oumalou,026 31 72 53/026 31 72 54,026 31 72 54,apcaitoumalou@yafoo.fr,,"
                                    Agouni Bouaragh - Ait oumalou                                
            ",                    tizi rached                                               ,                    tizi-ouzou                                            
528,Tirmitine,026 42 01 09  /026 42 01 16,026 42 01 50/ 026 42 04 05,,,"
                                    Village Laksar Commune Tirmitine Daïra Drâa Ben Khedda                                 
            ",                    draa ben khedda                                               ,                    tizi-ouzou                                            
529,Akerrou,026 45 46 27/026 45 46 29,026 45 46 29,,,"
                                    Tifrit nait el hadj                                
            ",                    azeffoun                                               ,                    tizi-ouzou                                            
530,Yatafene,026 33 50 38/026 33 50 37 ,026 33 50 38/026 33 50 37,apcyatafene@gmail.com,,"
                                    Souk El Had, Commune de Yatafene                                
            ",                    benni yenni                                               ,                    tizi-ouzou                                            
531,Beni-zikki,026 35 61 71,026 35 62 84,apc_benizikki@yahoo.fr,,"
                                    Beni-Zikki Centre - Beni Zikki                                
            ",                    bouzeguene                                               ,                    tizi-ouzou                                            
532,Draa-ben-khedda,026 43 42 55/026 43 42 58,026 43 42 57,,,"
                                    Rue Kasri Ahmed                                
            ",                    draa ben khedda                                               ,                    tizi-ouzou                                            
533,Ouacif,026 33 19 50,026 33 16 35,dynabis 914@gmail.com,,"
                                    APC OUACIF                                
            ",                    ouacif                                               ,                    tizi-ouzou                                            
534,Idjeur,026 14 32 78,026 14 32 74,,,"
                                    Idjeur 15036 tizi ouzou                                
            ",                    bouzeguene                                               ,                    tizi-ouzou                                            
535,Mekla,026 37 24 91/026 37 24 83,026 37 24 91/026 37 24 83,,,"
                                    Mekla Centre                                
            ",                    mekla                                               ,                    tizi-ouzou                                            
536,Tizi n'tleta,026 32 98 01,026 32 98 18,,,"
                                    Tizi n'tleta Centre - Tizi n'tleta                                
            ",                    ouadhias                                               ,                    tizi-ouzou                                            
537,Beni-yenni,026 33 71 20/026 33 72 38,026 33 71 91,mairie.beniyenni@gmail.com,,"
                                    Commune Beni Yenni-Taourirt Mimoun                                
            ",                    benni yenni                                               ,                    tizi-ouzou                                            
538,Aghribs,026 45 21 59/026 45 21 58,026 45 21 59/026 45 21 58,,,"
                                    Agouni Oucharki - Aghribs                                
            ",                    azeffoun                                               ,                    tizi-ouzou                                            
539,Iflissen,026 15 62 40,026 15 62 39,,,"
                                    Agouni Moussi                                 
            ",                    tigzirt                                               ,                    tizi-ouzou                                            
540,Boudjima,026 44 63 69/026 44 63 68,026 44 63 69/026 44 63 68,,,"
                                    Boudjima Centre - Boudjima                                
            ",                    makouda                                               ,                    tizi-ouzou                                            
541,Ait yahia moussa,026 13 47 49,026 13 47 49,,,"
                                    Ait Yahia Moussa Daira Draa El Mizan                                
            ",                    draa el mizan                                               ,                    tizi-ouzou                                            
542,Souk-el-tenine,026 13 87 59/026 13 87 60    ,026 13 87 61/026 13 87 63,souk_el tenine@yahoo.fr,,"
                                    Commune Souk El Tenine Daïra de Mâatkas                                
            ",                    maatkas                                               ,                    tizi-ouzou                                            
543,Ait khellili,026 36 21 02,026 36 21 03,,,"
                                    Aït Khellili                                
            ",                    mekla                                               ,                    tizi-ouzou                                            
544,Sidi namane,026 43 91 68/026 43 91 69,026 43 91 69,,,"
                                    Cité Sidi Namane Centre - Sidi Namane                                
            ",                    draa ben khedda                                               ,                    tizi-ouzou                                            
545,Iboudrarene,026 29 31 30,026 29 31 33,apciboudrarene15116@hotmail.fr,,"
                                    chef lieu iboudrarene                                
            ",                    benni yenni                                               ,                    tizi-ouzou                                            
546,Agouni-gueghrane,026 28 81 04,026 28 81 67/ 026 28 81 22,,,"
                                    Agouni Gueghrane Commune Agouni Gueghrane                                
            ",                    ouadhias                                               ,                    tizi-ouzou                                            
547,Mizrana,026 15 13 28/026 15 13 70 ,026 15 13 27/026 15 13 70,apc.mizrana@gmail.com,,"
                                    Ait said-Commune Mizrana                                
            ",                    tigzirt                                               ,                    tizi-ouzou                                            
548,Imsouhal,026 49 07 21/ 026 49 07 22,026 49 07 23,,,"
                                    Agouni ouadellah imasouhal                                
            ",                    iferhounene                                               ,                    tizi-ouzou                                            
549,Tadmait,026 43 43 49/026 43 76 54,26 43 76 52,,,"
                                    Rue colonel amirouche                                
            ",                    draa ben khedda                                               ,                    tizi-ouzou                                            
550,Ait bouaddou,026 32 91 03,026 32 91 02,,,"
                                    AIT BOUADDOU 15025                                
            ",                    ouadhias                                               ,                    tizi-ouzou                                            
551,Assi-youcef,026 38 19 67,026 38 19 68,,,"
                                    Siège APC Assi Youcef 15431 W TIZI OUZOU                                
            ",                    boghni                                               ,                    tizi-ouzou                                            
552,Ait-toudert,026 33 20 57,026 33 20 56,papcaittoudert@yahoo.com,,"
                                    Ait Toudert Centre Daira Ouacif Wilaya de Tizi Ouzou                                
            ",                    ouacif                                               ,                    tizi-ouzou                                            
553,Alger centre,023 50 80 91,023508103,apc.algercentre@wilaya-alger.dz,http://www.apc-algercentre.dz,"
                                    03 Rue place Emir Abdelkader                                
            ",                    sidi m'hamed                                               ,                    alger                                            
554,Sidi m'hamed,021 65 12 95,21657675,apc.sidimhamed@wilaya-alger.dz,,"
                                    12 Rue Belhaffaf Ghazali                                
            ",                    sidi m'hamed                                               ,                    alger                                            
555,El madania,021 27 03 78/021 27 60 32,21270242,apc.madania@wilaya-alger.dz,,"
                                    Place El Fidae Madania                                
            ",                    sidi m'hamed                                               ,                    alger                                            
556,Mohamed belouzdad,021 67 15 75,21671575,apc.belouizdad@wilaya-alger.dz,,"
                                    07 Rue Rabah Takjourt-Ruisseau                                
            ",                    hussein dey                                               ,                    alger                                            
557,Bab el oued,021 96 72 29,21965243,apc.babloued@wilaya-alger.dz,,"
                                    01 Rue Ahmed Bouder Bab El Oued                                
            ",                    bab el oued                                               ,                    alger                                            
558,Bologhine ibnou ziri,023 15 07 77,23150777,apc.bologhine@wilaya-alger.dz,,"
                                    01 Rue Hamla Abde Elrazek Bologhine                                
            ",                    bab el oued                                               ,                    alger                                            
559,Casbah,021 43 76 68/021 43 76 69,21437382,apc.casbah@wilaya-alger.dz,,"
                                    02 Bed  Che Guevara Casbah                                
            ",                    bab el oued                                               ,                    alger                                            
560,Oued koriche,023 17 22 75,23172247,apc.ouedkoriche@wilaya-alger.dz,,"
                                    Cité administrative Saïd Hani oued koriche                                
            ",                    bab el oued                                               ,                    alger                                            
561,Bir mourad rais,021 54 61 01/021 54 61 02,021546815/021546266,apc.birmouradrais@wilaya-alger.dz,,"
                                    Rue Said Hamdine Bir Mourad Rais                                
            ",                    bir mourad rais                                               ,                    alger                                            
562,El biar,021 92 60 87/021 92 40 92,021921262/021921423,apc.elbiar@wilaya-alger.dz,,"
                                    Place Kennedy El Biar                                
            ",                    bouzareah                                               ,                    alger                                            
563,Bouzareah,023 18 16 01,023181589/023181595,apc.bouzareah@wilaya-alger.dz,,"
                                    Rue Riabi Mohamed Bouzareah                                
            ",                    bouzareah                                               ,                    alger                                            
564,Birkhadem,023 45 20 66,23452062,apc.birkhadem@wilaya-alger.dz,,"
                                    Rue Mezouar Abdelkader                                
            ",                    bir mourad rais                                               ,                    alger                                            
565,El harrach,021 83 17 09,021831709/021834446,apc.harrach@wilaya-alger.dz,,"
                                    Place 05 Juillet 1962 centre ville                                
            ",                    el harrach                                               ,                    alger                                            
566,Baraki,023 91 14 04,23911408,apc.baraki@wilaya-alger.dz,,"
                                    Rue Boualem Kadour                                
            ",                    baraki                                               ,                    alger                                            
567,Oued smar,023 83 25 70,23832570,apc.ouedsmar@wilaya-alger.dz,,"
                                    Rue Meftah Oued Smar                                
            ",                    el harrach                                               ,                    alger                                            
568,Bourouba,023 76 73 43,023767357/023767795,apc.bourouba@wilaya-alger.dz,,"
                                    Rue Houes Chaabane entrée principal                                 
            ",                    el harrach                                               ,                    alger                                            
569,Hussein dey,023 77 60 55/023 77 26 86,23776055,apc.huseindey@wilaya-alger.dz,,"
                                    02 Rue Ammar Mekkid                                
            ",                    hussein dey                                               ,                    alger                                            
570,Kouba,023 78 63 05,023786284/023786296,apc.kouba@wilaya-alger.dz,,"
                                    Place Mohamed El-Aichaoui                                
            ",                    hussein dey                                               ,                    alger                                            
571,Bachedjerah,021 26 17 17/021 26 25 95,21269154,apc.bachdjerah@wilaya-alger.dz,,"
                                    Cité Bachdjarah 2                                
            ",                    el harrach                                               ,                    alger                                            
572,Dar el beida,021 50 64 73,021507169/021506473,apc.darelbeida@wilaya-alger.dz,,"
                                    Rue Mouloud Ferraoun                                
            ",                    dar el beida                                               ,                    alger                                            
573,Bab ezzouar,023 83 21 04,023832106/023831363,apc.babezzouar@wilaya-alger.dz,,"
                                    Cité Rabia Tahar Bab Ezzouar                                
            ",                    dar el beida                                               ,                    alger                                            
574,Ben aknoun,021 91 21 60,021920495/023384347,apc.benaknoun@wilaya-alger.dz,,"
                                    Route National N°36 Ben Aknoun                                
            ",                    bouzareah                                               ,                    alger                                            
575,Dely ibrahim,021 91 96 36,021919491/021917320,apc.delybrahim@wilaya-alger.dz,,"
                                    Rue Ali Delili Ain Allah Dely Ibrahim                                
            ",                    cheraga                                               ,                    alger                                            
576,Hammamet,021 95 71 42/021 95 71 27,021950000/021959000,apc.hammamet@wilaya-alger.dz,,"
                                    247 Avenue Hamid Kebladj Hammamet                                
            ",                    cheraga                                               ,                    alger                                            
577,Rais hamidou,021 70 86 28/021 70 82 34,21708620,apc.raishamidou@wilaya-alger.dz,,"
                                    01 Bed Mabrouk Belahcen Rais Hamidou                                
            ",                    bab el oued                                               ,                    alger                                            
578,Djasr kasentina,021 28 62 82/021 28 08 51,21286282,apc.guedeconstantine@wilaya-alger.dz,,"
                                    Ilot B2 Gué de Constantine                                
            ",                    bir mourad rais                                               ,                    alger                                            
579,El mouradia,021 69 67 29,21697799,apc.mouradia@wilaya-alger.dz,,"
                                    54 Rue Ali Haddad                                
            ",                    sidi m'hamed                                               ,                    alger                                            
580,Hydra,021 69 45 62/021 69 47 75,21607532,apc.hydra@wilaya-alger.dz,,"
                                    01 Rue AbouNaous Hydra                                
            ",                    bir mourad rais                                               ,                    alger                                            
581,Mohammadia,023 82 56 37,023825637/023825674,apc.mohamadia@wilaya-alger.dz,,"
                                    Cité 632 logts Mohammadia                                
            ",                    dar el beida                                               ,                    alger                                            
582,Bordj el kiffan,021 20 52 19,021205219/021205099,apc.bordjelkiffan@wilaya-alger.dz,,"
                                    Rue Salah Eddine El Ayoubi                                 
            ",                    dar el beida                                               ,                    alger                                            
583,El magharia,023 77 02 47,23770247,apc.magharia@wilaya-alger.dz,,"
                                    Rue Ahmed Zahi                                
            ",                    hussein dey                                               ,                    alger                                            
584,Beni messous,021 93 11 98,21931198,apc.benimessous@wilaya-alger.dz,,"
                                    Rue de la Revolution Beni Messous                                
            ",                    bouzareah                                               ,                    alger                                            
585,Les eucalyptus,021 50 38 24/021 50 01 70,21500687,apc.eucalyptus@wilaya-alger.dz,,"
                                    Route National N°8 Eucalyptus                                
            ",                    baraki                                               ,                    alger                                            
586,Tessala el merdja,023 55 84 82 / 023 58 48 17,23584806,apc.tessalaelmerdja@wilaya-alger.dz,,"
                                    Rue de Libération Nationale                                
            ",                    birtouta                                               ,                    alger                                            
587,Ouled chebel,021 40 80 23/021 40 80 21,021408023/021408021,apc.ouledchebel@wilaya-alger.dz,,"
                                    Rue 11 Décembre 1960                                
            ",                    birtouta                                               ,                    alger                                            
588,Bir touta,021 44 33 82/021 44 35 04,21443945,apc.birtouta@wilaya-alger.dz,,"
                                    Rue Khmisset                                
            ",                    birtouta                                               ,                    alger                                            
589,Sidi moussa,021 76 96 53/021 76 96 57,021769631/021769642,apc.sidimoussa@wilaya-alger.dz,,"
                                    Route de Dar ElBeida Sidi Moussa                                
            ",                    baraki                                               ,                    alger                                            
590,Rouiba,023 86 27 92/023 86 29 26,023862795/023862926,apc.rouiba@wilaya-alger.dz,,"
                                    Cité Medrar Hcen                                
            ",                    rouiba                                               ,                    alger                                            
591,Herraoua,023 96 14 07/023 96 14 08,023961407/023961408,apc.hraoua@wilaya-alger.dz,,"
                                    Centre Hraoua                                
            ",                    rouiba                                               ,                    alger                                            
592,Reghaia,021 84 95 58/021 85 79 82,021857982/021859990,apc.reghaia@wilaya-alger.dz,,"
                                    Rue Said Azzouni Réghaia Centre                                
            ",                    rouiba                                               ,                    alger                                            
593,Ain taya,023 95 41 79,023954174/023954175,apc.aintaya@wilaya-alger.dz,,"
                                    Place Mohamed Khemisti                                
            ",                    dar el beida                                               ,                    alger                                            
594,Bordj el bahri,023 87 11 98/023 87 11 97,23871190,apc.bordgelbahri@wilaya-alger.dz,,"
                                    RN n°24 Bordj El Bahri                                
            ",                    dar el beida                                               ,                    alger                                            
595,El marsa,021 86 27 65/023 87 94 25,021862767/023879421,apc.elmarsa@wilaya-alger.dz,,"
                                    Rue Principal El Marsa                                
            ",                    dar el beida                                               ,                    alger                                            
